Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Random Forest,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Decision Tree,1.00,0.97,0.94,1.00,1.00,1.00,1.00
XGBoost,1.00,1.00,1.00,1.00,1.00,1.00,1.00
AdaBoost,1.00,0.86,0.76,1.00,0.99,0.99,0.99
Gradient Boosting,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Extra Trees,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Neural Network (MLP),1.00,1.00,1.00,1.00,1.00,1.00,1.00
Logistic Regression,1.00,0.80,0.67,1.00,0.99,0.99,0.98
